68425,main,main
68426,institution,institution
68427,place,place
68429,person,person
68430,city,city
68431,country,country
68432,historical_city,historical_city
68433,historical_country,historical_country
68439,"Willibald Beyschlag","Johann Heinrich Christoph Willibald Beyschlag was a German theologian from Frankfurt.
He was a professor of theology at the University of Halle and the leader of the Evangelical ""Middle Party."" Beyschlag founded the Protestant League in 1886, believing that only in unity could German Protestantism find strength. He died in Halle."
68440,"Leopold von Ranke","Leopold von Ranke was a German positivist historian and a founder of modern source-based history. According to Caroline Hoefferle, “Ranke was probably the most important historian to shape historical profession as it emerged in Europe and the United States in the late 19th century.” He was able to implement the seminar teaching method in his classroom, and focused on archival research and analysis of historical documents. Ranke set the standards for much of later historical writing, introducing such ideas as reliance on primary sources, an emphasis on narrative history and especially international politics."
68441,"Franz Kugler","Franz Theodor Kugler was a cultural administrator for the Prussian state and art historian. He studied at the University of Berlin and in 1837 he published his Handbuch der Geschichte der Malerei of his Handbuch der Kunstgeschichte."
68442,Basel,Basel
68443,Berlin,Berlin
68444,Italia,Italia
68445,Schweiz,Schweiz
68446,Deutschland,Deutschland
68447,France,France
68448,"Staatsarchiv Basel","Staatsarchiv Basel"
68449,"Jacob Burckhardt-Stiftung","Jacob Burckhardt-Stiftung"
68450,Innsbruck,Innsbruck
68451,Österreich,Österreich
68452,"Ludwig von Pastor","Ludwig Pastor, later Ludwig von Pastor, Freiherr von Campersfelden, was a German historian and a diplomat for Austria. He became one of the most important Roman Catholic historians of his time and is most notable for his History of the Popes. He was raised to the nobility by the Emperor Franz Joseph I in 1908."
68453,"Wilhelm von Bode","Wilhelm von Bode was a German art historian and curator. Born Arnold William Bode in Calvörde, he was ennobled in 1913. He was the creator and first curator of the Kaiser Friedrich Museum, now called the Bode Museum in his honor, in 1904."
68454,"Emma Brenner-Kron","Gattin (seit 1845) des Advokaten und radikalen Politikers Dr. Carl Brenner (1814-1883). Sie zählt weniger wegen ihrer schriftdeutschen Erzählungen und Gedichte als vielmehr um ihrer Dialektpoesie willen zu den literarischen Größen Basels im 19. Jahrhundert."
68455,Bern,Bern
68456,"Eberhard Gothein","Eberhard Gothein war ein deutscher Nationalökonom, Kultur- und Wirtschaftshistoriker."
68457,Karlsruhe,Karlsruhe
68458,"Julius Friedländer","Eduard Julius Theodor Julius Friedländer was a German numismatist."
68459,"Paul Ceresole","Paul Cérésole was a Swiss politician, judge of the Supreme Court and member of the Swiss Federal Council.
He was elected to the Federal Council of Switzerland on 1 February 1870, and handed over office on 31 December 1875. He was affiliated with the Free Democratic Party of Switzerland.
While in office he held the following departments:
⁕Department of Finance
⁕Military Department
⁕Political Department as President of the Confederation
⁕Department of Justice and Police
His son Pierre was a noted pacifist.
Cérésole died 1905 in Lausanne.
""Avenue Paul-Cérésole"" in Vevey is named for him."
68460,"Herman Grimm","Herman Grimm was a German academic and writer."
68461,"Carl Goldbeck","Goldbeck, Carl E. A. W.: Deutscher Romanist und Gymnasiallehrer. Neben seinen sprachwissenschaftlichen Studien (Englischen und Französisch) hat Goldbeck das Werk des portugiesischen Dichters Antero de Quental im deutschsprachigen Raum bekannt gemacht. Er war Oberlehrer an der Luisenschule und seit 1879 Direktor des Mädchengymnasiums Charlottenschule in Berlin. Zu seinen Schülerinnen gehört Carolina Michaëlis de Vasconcellos (Berlin, 1851-Porto 1925), seit 1911 erste weibliche Dozentin an der Facultade de Letras der Universität Lissabon, die ihrem Lehrer die «Studien zur romanischen Wortschöpfung» (1876) widmete."
68462,"Mathilde Charras-Kestner","Tochter des Fabrikanten Charles Kestner-Rigau in Thann im Elsaß und Enkelin der Charlotte Buff. Seit 1858 war sie mit dem in Basel im politischen Exil lebenden französischen Politiker und Offizier Jean Baptiste Adolphe Charras (1810-1865) verheiratet."
68463,Frankreich,Frankreich
68464,Paris,Paris
68465,"Pier Desiderio Pasolini","Pier Desiderio Pasolini è stato un politico italiano. Fu senatore del Regno d'Italia nella XVI legislatura."
68466,"Adolf Michaelis","Adolf Michaelis was a German classical scholar, a professor of art history at the University of Strasbourg from 1872, who helped establish the connoisseurship of Ancient Greek sculpture and Roman sculpture on their modern footing. Just at the cusp of the introduction of photography as a tool of art history, Michaelis pioneered in supplementing his descriptions with sketches."
68467,Strasbourg,Strasbourg
68468,Decin,Decin
68469,Straßburg,Straßburg
68470,Jena,Jena
68471,"Adolf Baumgartner","Adolf A. Baumgartner war ein Schweizer Klassischer Philologe und Historiker deutscher Herkunft.

Baumgartner studierte Geschichte und Klassische Philologie in Basel (1874 und 1875–1877, u. a. bei Jacob Burckhardt und Friedrich Nietzsche), Bonn (1874/75), Jena (1877/78, vor allem bei Erwin Rohde) und Tübingen (1878/79), wo er 1879 bei Alfred von Gutschmid promoviert wurde. Während des Studiums leistete er auch seinen deutschen Militärdienst ab. 1881 habilitierte sich Baumgartner an der Universität Basel mit einer Arbeit zur armenischen Geschichte für Alte Geschichte und Historiographie. Am 22. Juni 1889 wurde dort er zum ausserordentlichen und am 18. April 1891 zum ordentlichen Professor für allgemeine Geschichte (als Nachfolger Jacob Burckhardts) berufen. 1902 war er Rektor."
68472,"Ludwig Ebner",
68473,Stuttgart,Stuttgart
68474,"Georg Adler","Georg Adler war ein deutscher Nationalökonom. Bereits im Alter von 23 Jahren war Adler habilitiert und in Freiburg im Jahr 1890 zum außerordentlichen Professor ernannt worden.

Im Herbst 1900 wurde Adler zum außerordentlichen Professor der Staatswissenschaften an die CAU Kiel berufen. 

Seinen gewählten Forschungsschwerpunkten zufolge kann er der historischen Schule zugerechnet werden. Neben wirtschaftsgeschichtlichen Studien widmete er sich der Ideengeschichte und den Problemen des Sozialismus. Besondere Bedeutung in seinem Wirken hatte die Herausgabe der ""Hauptwerke des Sozialismus und der Sozialpolitik"" seit 1904."
68475,Posen,Posen
68476,"Carl Aldenhoven","Carl Aldenhoven war ein deutscher Kunsthistoriker, Hofrat und Direktor des Wallraf-Richartz-Museums in Köln."
68477,Gotha,Gotha
68478,Genova,Genova
68479,"Kaisertum Österreich","Kaisertum Österreich"
68480,"August Wilhelm Ambros","August Wilhelm Ambros was an Austrian composer and music historian of Czech descent."
68481,"Ludwig Arnsperger","Ludwig Arnsperger"
68482,"Hans Wilhelm Auer","Hans Wilhelm Auer was a Swiss-Austrian architect best known for his design of the Swiss Bundeshaus in Bern.
Auer was born in Wädenswil. A pupil first of Gottfried Semper at the ETH Zurich and then staff assistant for Theophil Hansen in Vienna, Auer established his own office in 1887 and enjoyed a rich and varied career as a practicing architect, educator, and theorist. He died at Konstanz.
Like his near-contemporary Constantin Lipsius, Auer was an eloquent advocate for architectural realism, a sophisticated theoretical stance that became increasingly significant in the 1880s on the continent. Architectural Realists sought to renew contemporary architecture through thoughtful reconsideration of the symbolic properties of the classical language of architectural expression; this ""realistic"" reconsideration required a new level of archaeological accuracy in the understanding of the emergence and evolution of specific forms. Auer's brilliant historical discussion of the triglyph comprised the basis for his own reflections on improving the existing state of contemporary architecture. Architectural realism enabled Auer's generation to disengage from slavish imitation of historical forms and hastened the emergence of more subtle perspectives on stylistic innovation. Auer's unique contribution as an architectural theorist was to expand the notion of architectural space as a significant aspect of style and evolution, an accomplishment that is usually consigned to the art historian August Schmarsow."
68483,"Jakob Bächtold","Swiss literary historian."
68484,Zürich,Zürich
68485,"Friedrich Becker","Der studierte Germanist lehrte an der Gewerbeschule in Basel. Er war Herausgeber von «J.P. Hebel: Festgabe zu seinem hundertsten Geburtstage» (1860). QUELLE: Nachruf in den «Basler Nachrichten», 16.11.1887."
68486,"Johannes Benda","Johannes Benda was a German jurist and politician."
68487,Lübeck,Lübeck
68488,"Eduard Bernoulli","Swiss businessman and politician."
68489,Charlottenburg,Charlottenburg
68490,Helmstedt,Helmstedt
68491,"Carl Brenner","Der Sohn des als freisinniger Politiker bekannten gleichnamigen Vaters und der Dichterin Emma Brenner-Kron, war beruflich in verschiedenen kaufmännischen Stellungen tätig, schließlich auch als Universitätsquästor und Strafrichter."
68492,"Wilhelm Bubeck","Bubeck, Wilhelm. Swiss architect and designer. After attending the School of Design in Basel he studied Architecture at the Technical University of Stuttgart. He worked as architect at the head office of the Gotthard railway, in Hannover and Brussels. In 1881 he was appointed director of the School of Design in Basel. He led the school to the nationalization as General School of Commerce (Allgemeine Gewerbeschule) and directed it until his premature death.
Source: http://www.sfgbasel.ch/ueber-uns/geschichte/allgemeine-gewerbeschule/wilhelm-bubeck/"
68493,"Placid Bütler","Bütler Placid was a Swiss historian and teacher. He attended the Cantonal School in Aarau, where he was promoted by Augustin Keller (1805-83), once the teacher of his father. After he got his high school diploma (1878) he began his studies in Zurich, taking history, German, and romance languages (French literature) classes: the most representative professors were for him Georg von Wyss (1816-93), Gerold Meyer von Knonau (1843-1931), Johannes Scherr (1817-86) and Gottfried Kinkel (1815-82). After three semesters in Zurich he attended the University of Basel and in particular Jacob Burckhardt’s (1818-97) and Moritz Heyne’s lectures. After a stay at the University of Geneva he graduated in Zurich in the spring 1885. In October 1882 he passed as teacher the district examination in Aarau and began there between 1883 and 1884 to work as history teacher in the Cantonal School. He taught from 1884 to 1887 at the newly established Rorschach’s Institute Wiget, worked two and a half years at the District School of Baden and finally between 1890 and 1898 at Rorschach’s teacher seminar. In 1898 he passed to the Cantonal School of Saint Gallen, where he worked until his retirement in 1925, initially as a teacher of German, French, history and geography and then from 1907 exclusively as a history teacher. He was until his death member of the Saint Gallen Historical Association, of which he was president from 1919 to 1924 as Hermann Hartmann’s successor. As historian he distinguished himself especially for his studies on the local history of St. Gallen. Among his most famous publications are to be mentioned the monographies ""Friedrich VII., Der letzte Graf von Toggenburg» (1887-1891) and ""Aus einer der Vergangenheit Bauerngemeinde im obern Freiamt"" (1923). Along with Traugott Schiess drafted the 5th band (1412-1442) of the ""Urkundenbuch der Abtei Sanct Gallen"" (1913)."
68494,Beinwil,Beinwil
68495,"Jacob Caro","Jacob Caro was a Jewish German historian.
Caro was born in Gnesen, Grand Duchy of Posen, the son of Joseph Chayyim Caro. After several years of diligent study at the universities of Berlin and Leipzig, he attracted considerable attention by his work Das Interregnum Polens im Jahr 1586, oder die Häuser Zborowski und Zamojski and was immediately entrusted with the continuation of Röppel's history of Poland in the series of Geschichten der Europäischen Staaten, edited by Arnold Hermann Ludwig Heeren and Friedrich August Ukert, and published at Gotha. Caro contributed volumes ii through v of this monumental work.
Before publishing the results of his research he undertook several extensive journeys through Galicia and the south of Russia, and upon his return to Germany in 1863 was appointed privat-docent at the University of Jena. Shortly afterward, at the invitation of Grand Duchess Helena of Russia, he accompanied her on her travels, and was for some time attached to her suite at St. Petersburg. Later he was promoted to the position of assistant professor at the University of Jena; and in 1869 was called by the University of Breslau to fill a special chair of history. From 1882 he occupied the position of professor at that institution. He died in Breslau."
68496,Thorn,Thorn
68497,"Hermann Costenoble","Hermann Costenoble"
68498,Leipzig,Leipzig
68499,"Cotta'sche Buchhandlung","Cotta'sche Buchhandlung"
68500,"Giuseppe Curti","Schüler des Canonicus Lamoni in Muzzano, widmete er sich, nach einem Aufenthalt in der deutschsprachigen Schweiz, den methodischen Aufgaben des Sprachunterrichts, den er als Leiter des tessinischen Unterrichtswesens 1846-1848 im Sinn Pestalozzis und der Gesetzgebung Stefano Franscinis zu reformieren bestrebt war. Als gemäßigter Liberaler vorübergehend im Ständerat, galt sein Leben doch vor allem pädagogischen Zielen. Neben seiner Tätigkeit als Französisch- und Deutschlehrer am kantonalen Lyceum in Lugano befasste er sich als Schriftsteller mit der Publikation hauptsächlich von Sprachlehrbüchern für die Schulen seines Heimatkantons."
68501,Bellinzona,Bellinzona
68502,"Carlo Crippa",
68503,"Paul Neff","German publisher specialized in fine art editions."
68504,"Carl A. Ebner","Carl A. Ebner"
68505,Tschechien,Tschechien
68506,USA,USA
68507,"Auguste Daulte","Teacher at the Ecole supérieure des jeunes filles in Lausanne."
68508,"Berthold Delbrück","Berthold Gustav Gottlieb Delbrück was a German linguist who devoted himself to the study of the comparative syntax of the Indo-European languages."
68509,Jen,Jen
68510,Jena,Jena
68511,"Karl Frey","Der Sohn von Rektor Heinrich Frey und Bruder von Hans und Willi Frey studierte zuerst Theologie, dann Philologie und Geschichte in Basel (wo er Hörer Jacob Burckhardts war) und in Göttingen. Er war befreundet mit Gustav Stehelin, Robert Grüninger und Paul Speiser und wirkte als Zentralpräsident des Schweizerischen Zofingervereins in den Jahren 1868/69. Nach vorübergehender Tätigkeit in Schaffhausen arbeitete er 40 Jahre lang als Lehrer am Berner Städtischen Gymnasium. Vielseitig tätig als Essayist, Kritiker und Schriftsteller, wagte er sich mit seinem bisweilen etwas sprunghaften Urteil an die gewichtigen Fragen der philologischen Kritik."
68512,"Clara Frey-Freyvogel","She was the daughter of the Swiss industrial F. Freyvogel-ImHof. In 1874 she got married with Wilhelm Frey who had recently come back to Basel after his stay abroad."
68513,"Rudolf Dilger","Swiss journalist from Arbon (canton Thurgau)"
68514,"Robert Dorer","Eugen Dorer Robert was a Swiss sculptor. The son of the writer Eduard Dorer-Egloff studied at the Academy of Fine Arts in Munich with Ludwig Schwanthalerstraße 1848 and went to Dresden to train under the guidance of Ernst Rietschel and Ernst Hahnels. In 1861 he travelled in Italy. In 1872, he left Dresden and opened his own studio in his native country, Switzerland. He was from 1888 to 1890  member of the Swiss Federal Art Commission."
